cim,szerzok,letoltes,oldal
Mimózák és krizántémok : $b Nipponföldi mesevilág,"Kúnos, Ignácz",1056,1
Magyar népdalok (Magyar remekirók 54. kötet),"Endrődi, Sándor",850,1
Petőfi Sándor összes költeményei: Hazai művészek rajzaival díszített negyedik népies kiadás,"Petőfi, Sándor",844,1
"Legszebb orosz mesék kisfiuknak, kislányoknak","Tolstoy, Leo, graf",844,1
A magyar nép művészete (1. kötet): A kalotaszegi magyar nép művészete,"Malonyay, Dezső",777,1
Don Quijote de la Mancha,"Cervantes Saavedra, Miguel de",770,1
Elegyes gyüjtések Magyarország és Erdély különböző részeiből;: Magyar népköltési gyüjtemény 1. kötet,,759,1
Török világ Magyarországon (1. rész): Történeti regény,"Jókai, Mór",732,1
Tanár úr kérem: Képek a középiskolából,"Karinthy, Frigyes",686,1
Székelyföldi gyüjtés; Magyar népköltési gyüjtemény 7. kötet,"Mailand, Oszkár",683,1
Életemből (II. rész): Igaz történetek. Örök emlékek. Humor. Utleirás.,"Jókai, Mór",674,1
Székelyföldi gyüjtés; Magyar népköltési gyüjtemény 3. kötet,"Benedek, Elek, Kriza, János, Orbán, Balázs, Sebesi, Jób",664,1
Modern költők: Külföldi antológia a költők arcképeivel,,662,1
Ipolyi Arnold népmesegyüjteménye; Magyar népköltési gyüjtemény 13. kötet,"Ipolyi, Arnold",661,1
"Magyar regék, mondák és népmesék","Mailáth, János Nepomuk Jozsef, gróf",643,1
Zágoni Mikes Kelemen törökországi levelei (1. kötet),"Mikes, Kelemen",638,1
Im-ígyen szóla Zarathustra,"Nietzsche, Friedrich Wilhelm",636,1
Hazai rejtelmek: Regény (1. kötet),"Kuthy, Lajos",632,1
"Emil, vagy a nevelésről","Rousseau, Jean-Jacques",628,1
Csongrádmegyei gyüjtés; Magyar népköltési gyüjtemény 2. kötet,"Török, Károly",621,1
"A jövő század regénye, 1. rész","Jókai, Mór",621,1
Eredeti népmesék,"Arany, László",620,1
Jocus és Momus,"Jókai, Mór",604,1
Kenyér és bor: új versek,"Kosztolányi, Dezső",600,1
Zágoni Mikes Kelemen törökországi levelei (2. kötet),"Mikes, Kelemen",594,1
Népmesék Heves- és Jász-Nagykun-Szolnok-megyéből; Magyar népköltési gyüjtemény 9. kötet,"Berze Nagy, János",593,1
Az egri csillagok (II. kötet) : $b Bornemissza Gergely élete,"Gárdonyi, Géza",593,1
Megtörtént regék: Beszélyek,"Jókai, Mór",588,1
Nippon-ország naposkertje : $b Japán népmesék,"Kúnos, Ignácz",582,1
A báróné ténsasszony: Regény,"Tolnai, Lajos",579,1
Degré Alajos novellái (3. kötet),"Degré, Alajos",579,1
Grimm testvérek összegyüjtött meséi,"Grimm, Jacob, Grimm, Wilhelm",575,1
Thury Zoltán összes művei (3. kötet): A kapitány és egyéb elbeszélések,"Thury, Zoltán",574,2
"A jövő század regénye, 2. rész","Jókai, Mór",574,2
Mire megvénülünk (1. kötet),"Jókai, Mór",573,2
Degré Alajos novellái (2. kötet),"Degré, Alajos",571,2
Antigone,Sophocles,567,2
Légy jó mindhalálig,"Móricz, Zsigmond",567,2
Egy naplopó tünődései,"Jerome, Jerome K. (Jerome Klapka)",562,2
Báró Podmaniczky Pál és a norvég Biblia: Elbeszélés a 18 nyelvü nagyapáról 77 nyelven és rovásírással,"Kutas, Ilona",561,2
Huckleberry Finn kalandjai,"Twain, Mark",560,2
Magyarhon szépségei; A legvitézebb huszár,"Jókai, Mór",555,2
Bálványos-vár: Történeti regény,"Jókai, Mór",549,2
A Pál-utcai fiúk: Regény kis diákok számára,"Molnár, Ferenc",548,2
A láthatatlan ember: Regény,"Gárdonyi, Géza",545,2
Régi magyar élet,"Móricz, Pál",543,2
A Noszty fiu esete Tóth Marival (2. kötet),"Mikszáth, Kálmán",541,2
A janicsárok végnapjai; A fehér rózsa,"Jókai, Mór",539,2
Szent Péter esernyője,"Mikszáth, Kálmán",539,2
Az egri csillagok (I. kötet) : $b Bornemissza Gergely élete,"Gárdonyi, Géza",538,2
Álomvilág: Elbeszélések,"Ambrus, Zoltán",536,2
Emlékezések,"Eötvös, Károly",535,2
